earnings_id,worker_id,work_date,employer_id,shift_type,hours_worked,gross_pay_cad,tips_cad,deductions_cad,net_pay_cad,paid_same_day,pay_method
E-000001,W-0001,2026-04-01,EMP-012,night,8.0,197.67,0.00,27.06,170.61,1,payroll_card
E-000002,W-0001,2026-04-02,EMP-012,night,9.0,165.99,0.00,26.12,139.87,1,payroll_card
E-000003,W-0001,2026-04-03,EMP-012,split,9.0,175.27,0.00,16.31,158.96,1,payroll_card
E-000004,W-0001,2026-04-05,EMP-012,night,8.0,259.40,0.00,36.07,223.33,0,etransfer
E-000005,W-0001,2026-04-06,EMP-012,day,8.0,193.01,0.00,26.36,166.65,0,direct_deposit
E-000006,W-0001,2026-04-07,EMP-012,night,9.0,233.26,0.00,28.50,204.76,1,cash
E-000007,W-0001,2026-04-09,EMP-023,evening,8.0,234.23,0.00,39.90,194.33,1,payroll_card
E-000008,W-0001,2026-04-10,EMP-015,night,8.0,176.47,0.00,14.49,161.98,0,direct_deposit
E-000009,W-0001,2026-04-11,EMP-012,split,8.0,170.80,0.00,30.71,140.09,0,etransfer
E-000010,W-0001,2026-04-13,EMP-012,night,9.0,182.87,0.00,24.86,158.01,0,etransfer
E-000011,W-0001,2026-04-14,EMP-023,night,9.0,268.90,0.00,33.07,235.83,0,cash
E-000012,W-0001,2026-04-15,EMP-012,evening,9.0,194.11,0.00,16.63,177.48,1,etransfer
E-000013,W-0001,2026-04-21,EMP-040,evening,8.0,137.92,0.00,15.95,121.97,0,cash
E-000014,W-0001,2026-04-23,EMP-012,evening,8.5,225.24,0.00,24.41,200.83,0,cash
E-000015,W-0001,2026-04-24,EMP-002,split,9.0,246.42,0.00,25.27,221.15,0,direct_deposit
E-000016,W-0001,2026-04-26,EMP-012,day,8.0,252.11,0.00,28.08,224.03,0,etransfer
E-000017,W-0001,2026-04-27,EMP-018,night,10.0,197.85,0.00,35.54,162.31,0,cash
E-000018,W-0001,2026-04-30,EMP-012,split,9.0,242.82,0.00,35.61,207.21,0,payroll_card
E-000019,W-0001,2026-05-02,EMP-012,day,10.0,348.99,0.00,47.01,301.98,1,direct_deposit
