txn_id,worker_id,txn_ts,direction,amount_cad,category,merchant_type,channel,is_essential,running_balance_cad,notes
T-0000049,W-0001,2026-04-01T06:43:00,debit,2056.00,housing,rent,debit,1,6910.73,obligation_id=O-00001
T-0000052,W-0001,2026-04-01T10:51:00,debit,66.00,phone,mobile_phone,etransfer,1,2732.73,obligation_id=O-00002
T-0000062,W-0001,2026-04-01T12:45:00,debit,68.76,groceries,grocery,etransfer,1,1958.79,
T-0000061,W-0001,2026-04-01T14:02:00,debit,81.21,childcare,childcare,etransfer,1,2027.55,
T-0000001,W-0001,2026-04-01T17:06:00,credit,170.61,income,employer_payroll,payroll_card,0,279.21,linked_earnings_id=E-000001
T-0000002,W-0001,2026-04-02T20:53:00,credit,139.87,income,employer_payroll,payroll_card,0,419.08,linked_earnings_id=E-000002
T-0000063,W-0001,2026-04-03T09:30:00,debit,37.70,groceries,grocery,cash,1,1921.09,
T-0000064,W-0001,2026-04-03T13:32:00,debit,49.74,transit,transit_fuel,cash,1,1871.35,
T-0000003,W-0001,2026-04-03T21:30:00,credit,158.96,income,employer_payroll,payroll_card,0,578.04,linked_earnings_id=E-000003
T-0000055,W-0001,2026-04-05T07:53:00,debit,154.00,utilities,utilities,debit,1,2446.73,obligation_id=O-00003
T-0000065,W-0001,2026-04-05T10:42:00,debit,21.49,personal_care,pharmacy_retail,etransfer,0,1849.86,
T-0000066,W-0001,2026-04-06T21:04:00,debit,28.70,groceries,grocery,cash,1,1821.16,
T-0000069,W-0001,2026-04-07T08:27:00,debit,40.66,childcare,childcare,cash,1,1649.60,
T-0000006,W-0001,2026-04-07T18:26:00,credit,204.76,income,employer_payroll,cash,0,1172.78,linked_earnings_id=E-000006
T-0000068,W-0001,2026-04-07T19:26:00,debit,109.65,debt_payment,loan_credit,debit,1,1690.26,
T-0000067,W-0001,2026-04-07T22:02:00,debit,21.25,groceries,grocery,cash,1,1799.91,
T-0000004,W-0001,2026-04-08T07:44:00,credit,223.33,income,employer_payroll,etransfer,0,801.37,linked_earnings_id=E-000004
T-0000070,W-0001,2026-04-08T22:46:00,debit,23.72,entertainment,streaming_leisure,debit,0,1625.88,
T-0000071,W-0001,2026-04-09T10:27:00,debit,13.11,entertainment,streaming_leisure,cash,0,1612.77,
T-0000005,W-0001,2026-04-09T10:36:00,credit,166.65,income,employer_payroll,direct_deposit,0,968.02,linked_earnings_id=E-000005
T-0000007,W-0001,2026-04-09T17:39:00,credit,194.33,income,employer_payroll,payroll_card,0,1367.11,linked_earnings_id=E-000007
T-0000072,W-0001,2026-04-10T14:45:00,debit,22.10,transit,transit_fuel,cash,1,1590.67,
T-0000074,W-0001,2026-04-10T15:58:00,debit,28.72,transit,transit_fuel,debit,1,1514.61,
T-0000073,W-0001,2026-04-10T21:47:00,debit,47.34,misc,general,prepaid,0,1543.33,
T-0000008,W-0001,2026-04-12T07:59:00,credit,161.98,income,employer_payroll,direct_deposit,0,1529.09,linked_earnings_id=E-000008
T-0000009,W-0001,2026-04-12T08:32:00,credit,140.09,income,employer_payroll,etransfer,0,1669.18,linked_earnings_id=E-000009
T-0000075,W-0001,2026-04-14T09:51:00,debit,20.83,transit,transit_fuel,debit,1,1493.78,
T-0000076,W-0001,2026-04-14T16:12:00,debit,23.90,transit,transit_fuel,debit,1,1469.88,
T-0000077,W-0001,2026-04-15T08:01:00,debit,28.83,food_out,restaurant_cafe,prepaid,0,1441.05,
T-0000012,W-0001,2026-04-15T16:27:00,credit,177.48,income,employer_payroll,etransfer,0,2240.50,linked_earnings_id=E-000012
T-0000010,W-0001,2026-04-17T10:58:00,credit,158.01,income,employer_payroll,etransfer,0,1827.19,linked_earnings_id=E-000010
T-0000078,W-0001,2026-04-17T12:38:00,debit,62.95,childcare,childcare,prepaid,1,1378.10,
T-0000079,W-0001,2026-04-18T08:43:00,debit,301.01,remittance,money_transfer,cash,1,1077.09,
T-0000080,W-0001,2026-04-19T09:24:00,debit,18.63,healthcare,pharmacy_clinic,prepaid,1,1058.46,
T-0000011,W-0001,2026-04-19T10:34:00,credit,235.83,income,employer_payroll,cash,0,2063.02,linked_earnings_id=E-000011
T-0000081,W-0001,2026-04-19T14:09:00,debit,20.96,food_out,restaurant_cafe,prepaid,0,1037.50,
T-0000058,W-0001,2026-04-22T07:40:00,debit,9.99,entertainment,streaming_/_subscription,cash,0,2128.74,obligation_id=O-00004
T-0000082,W-0001,2026-04-22T09:11:00,debit,19.29,food_out,restaurant_cafe,cash,0,1018.21,
T-0000083,W-0001,2026-04-22T20:47:00,debit,94.67,remittance,money_transfer,debit,1,923.54,
T-0000014,W-0001,2026-04-25T11:04:00,credit,200.83,income,employer_payroll,cash,0,2563.30,linked_earnings_id=E-000014
T-0000084,W-0001,2026-04-25T18:21:00,debit,72.10,childcare,childcare,prepaid,1,851.44,
T-0000085,W-0001,2026-04-26T07:35:00,debit,8.84,transit,transit_fuel,cash,1,842.60,
T-0000013,W-0001,2026-04-26T09:55:00,credit,121.97,income,employer_payroll,cash,0,2362.47,linked_earnings_id=E-000013
T-0000015,W-0001,2026-04-26T11:58:00,credit,221.15,income,employer_payroll,direct_deposit,0,2784.45,linked_earnings_id=E-000015
T-0000087,W-0001,2026-04-27T09:03:00,debit,39.81,food_out,restaurant_cafe,cash,0,747.00,
T-0000016,W-0001,2026-04-27T10:34:00,credit,224.03,income,employer_payroll,etransfer,0,3008.48,linked_earnings_id=E-000016
T-0000086,W-0001,2026-04-27T17:43:00,debit,55.79,groceries,grocery,cash,1,786.81,
T-0000088,W-0001,2026-04-28T15:26:00,debit,3.33,transit,transit_fuel,cash,1,743.67,
T-0000090,W-0001,2026-04-29T14:45:00,debit,33.75,groceries,grocery,cash,1,678.69,
T-0000089,W-0001,2026-04-29T16:57:00,debit,31.23,groceries,grocery,etransfer,1,712.44,
T-0000091,W-0001,2026-04-30T07:50:00,debit,224.64,debt_payment,loan_credit,prepaid,1,454.05,
T-0000053,W-0001,2026-05-01T08:33:00,debit,66.00,phone,mobile_phone,debit,1,2666.73,obligation_id=O-00002
T-0000050,W-0001,2026-05-01T09:30:00,debit,2056.00,housing,rent,debit,1,4854.73,obligation_id=O-00001
T-0000092,W-0001,2026-05-01T16:00:00,debit,75.40,groceries,grocery,cash,1,378.65,
T-0000094,W-0001,2026-05-02T07:03:00,debit,16.91,food_out,restaurant_cafe,cash,0,321.66,
T-0000017,W-0001,2026-05-02T08:28:00,credit,162.31,income,employer_payroll,cash,0,3170.79,linked_earnings_id=E-000017
T-0000018,W-0001,2026-05-02T08:50:00,credit,207.21,income,employer_payroll,payroll_card,0,3378.00,linked_earnings_id=E-000018
T-0000093,W-0001,2026-05-02T15:47:00,debit,40.08,misc,general,cash,0,338.57,
T-0000019,W-0001,2026-05-02T17:23:00,credit,301.98,income,employer_payroll,direct_deposit,0,3679.98,linked_earnings_id=E-000019
T-0000095,W-0001,2026-05-03T11:09:00,debit,61.47,groceries,grocery,etransfer,1,260.19,
T-0000096,W-0001,2026-05-04T22:16:00,debit,26.68,groceries,grocery,etransfer,1,233.51,
