worker_id,week_start,income_cad,expense_cad,essential_expense_cad,net_cashflow_cad,advances_count,advances_amount_cad,advance_fees_cad,ending_balance_cad,buffer_days_estimate,negative_balance_flag
W-0001,2026-03-30,469.44,2534.90,2513.41,-2065.46,1,56.96,0.00,1849.86,5.15,0
W-0001,2026-04-06,1091.14,335.25,251.08,755.89,0,0.00,0.00,1669.18,46.54,0
W-0001,2026-04-13,571.32,477.11,427.32,94.21,1,34.59,1.99,1037.50,17.0,0
W-0001,2026-04-20,543.95,204.89,175.61,339.06,0,0.00,0.00,2784.45,110.99,0
W-0001,2026-04-27,895.53,2704.41,2607.61,-1808.88,2,188.37,4.99,260.19,0.7,0
W-0001,2026-05-04,637.13,407.67,241.49,229.46,0,0.00,0.00,4317.11,125.14,0
W-0001,2026-05-11,695.49,107.16,0.00,588.33,1,107.47,3.22,4683.27,,0
W-0001,2026-05-18,639.32,9.99,0.00,629.33,1,93.39,1.99,5451.53,,0
W-0001,2026-05-25,272.96,37.90,0.00,235.06,0,0.00,0.00,5763.40,,0
W-0001,2026-06-01,653.61,2281.00,2281.00,-1627.39,0,0.00,0.00,6382.89,19.59,0
W-0001,2026-06-08,622.86,5.00,5.00,617.86,0,0.00,0.00,7201.35,10081.89,0
W-0001,2026-06-15,964.04,0.00,0.00,964.04,0,0.00,0.00,7836.81,,0
W-0001,2026-06-22,475.73,9.99,0.00,465.74,0,0.00,0.00,8536.17,,0
W-0001,2026-06-29,325.61,0.00,0.00,325.61,0,0.00,0.00,8966.73,,0
W-0002,2026-03-30,502.89,1847.47,1799.03,-1344.58,0,0.00,0.00,684.25,2.66,0
W-0002,2026-04-06,230.67,420.25,307.21,-189.58,0,0.00,0.00,2527.00,57.58,0
W-0002,2026-04-13,650.30,456.14,267.71,194.16,1,41.80,2.93,2080.85,54.41,0
W-0002,2026-04-20,391.12,416.46,416.46,-25.34,0,0.00,0.00,1664.39,27.98,0
W-0002,2026-04-27,966.25,1915.77,1747.70,-949.52,1,86.07,6.02,2922.59,11.71,0
W-0002,2026-05-04,533.01,591.02,445.67,-58.01,0,0.00,0.00,3455.60,54.28,0
W-0002,2026-05-11,716.48,592.85,423.84,123.63,2,155.08,6.06,190.74,3.15,0
W-0002,2026-05-18,790.53,169.55,118.57,620.98,0,0.00,0.00,4962.61,292.98,0
W-0002,2026-05-25,650.04,38.35,38.35,611.69,1,41.43,2.07,5612.65,1024.47,0
W-0002,2026-06-01,779.20,1616.00,1616.00,-836.80,1,87.41,0.00,6391.85,27.69,0
W-0002,2026-06-08,519.50,5.00,5.00,514.50,0,0.00,0.00,6911.35,9675.89,0
W-0002,2026-06-15,721.55,9.99,0.00,711.56,0,0.00,0.00,7632.90,,0
W-0002,2026-06-22,350.19,27.04,5.00,323.15,0,0.00,0.00,-49.20,-68.88,1
W-0002,2026-06-29,73.60,0.00,0.00,73.60,0,0.00,0.00,8056.69,,0
W-0003,2026-03-30,304.00,1692.49,1628.81,-1388.49,0,0.00,0.00,3640.38,15.64,0
W-0003,2026-04-06,1002.88,913.14,868.86,89.74,0,0.00,0.00,2785.24,22.44,0
W-0003,2026-04-13,624.37,472.63,472.63,151.74,0,0.00,0.00,2478.72,36.71,0
W-0003,2026-04-20,704.75,209.23,156.20,495.52,0,0.00,0.00,2103.38,94.26,0
