worker_id,city,province,occupation,pay_type,typical_daily_net_cad,income_volatility,tip_share,household_size,dependents,has_bank_account,uses_prepaid_card,primary_employer_id,tenure_months,has_side_gig,commute_mode,rent_burden_band
W-0001,Calgary,AB,Moving helper,daily,188.71,0.48,0.00,2,0,1,0,EMP-012,30,0,car,severe
W-0002,Edmonton,AB,Rideshare driver,gig,132.04,0.50,0.10,3,2,1,1,EMP-007,53,0,rideshare,high
W-0003,Red Deer,AB,Security guard,hourly,157.37,0.20,0.00,4,3,1,0,EMP-037,83,0,rideshare,high
W-0004,Edmonton,AB,Retail associate,hourly,172.44,0.30,0.05,1,0,1,1,EMP-030,35,0,walk_bike,severe
W-0005,Calgary,AB,Cleaning / janitorial,hourly,162.32,0.28,0.00,1,0,1,0,EMP-017,76,0,transit,high
W-0006,Okotoks,AB,Moving helper,daily,223.94,0.48,0.00,4,3,0,1,EMP-035,21,1,rideshare,low
W-0007,Calgary,AB,Cleaning / janitorial,hourly,153.45,0.28,0.00,3,2,1,0,EMP-017,63,0,walk_bike,moderate
W-0008,Calgary,AB,Rideshare driver,gig,189.30,0.50,0.10,1,0,1,1,EMP-040,47,0,rideshare,severe
W-0009,Calgary,AB,Gig delivery driver,gig,140.29,0.55,0.15,1,0,1,0,EMP-027,42,1,walk_bike,severe
W-0010,Medicine Hat,AB,Food service / kitchen,hourly,163.16,0.35,0.20,4,2,1,1,EMP-008,83,1,car,severe
W-0011,Calgary,AB,Event / venue staff,hourly,187.20,0.50,0.10,3,1,0,1,EMP-035,32,0,car,high
W-0012,Edmonton,AB,Gig delivery driver,gig,103.73,0.55,0.15,2,0,1,0,EMP-009,54,0,transit,severe
W-0013,Calgary,AB,Cleaning / janitorial,hourly,164.11,0.28,0.00,2,1,1,0,EMP-040,28,0,car,moderate
W-0014,Calgary,AB,Gig delivery driver,gig,113.85,0.55,0.15,3,2,1,0,EMP-034,37,0,transit,moderate
W-0015,Edmonton,AB,Server / bartender,hourly,129.21,0.45,0.55,4,3,0,1,EMP-018,30,0,walk_bike,high
W-0016,Calgary,AB,Gig delivery driver,gig,87.22,0.55,0.15,2,1,1,1,EMP-035,14,0,walk_bike,moderate
W-0017,Calgary,AB,Care aide / support worker,hourly,172.20,0.22,0.00,2,0,1,0,EMP-035,20,0,walk_bike,high
W-0018,Calgary,AB,Landscaping / grounds,daily,196.23,0.45,0.00,3,2,1,0,EMP-009,74,0,transit,high
W-0019,Calgary,AB,Construction labourer,daily,253.04,0.40,0.00,1,0,1,0,EMP-007,84,1,walk_bike,high
W-0020,Calgary,AB,Rideshare driver,gig,177.84,0.50,0.10,4,2,1,0,EMP-029,17,1,car,low
W-0021,Cochrane,AB,Cleaning / janitorial,hourly,179.36,0.28,0.00,1,0,1,0,EMP-020,61,0,walk_bike,low
W-0022,Edmonton,AB,Construction labourer,daily,249.26,0.40,0.00,4,3,1,0,EMP-008,35,0,transit,moderate
W-0023,Lethbridge,AB,Moving helper,daily,161.11,0.48,0.00,3,1,1,0,EMP-015,43,1,rideshare,moderate
W-0024,Calgary,AB,Server / bartender,hourly,145.36,0.45,0.55,1,0,1,1,EMP-036,32,0,rideshare,severe
W-0025,Red Deer,AB,Landscaping / grounds,daily,176.48,0.45,0.00,2,1,1,0,EMP-036,80,0,rideshare,moderate
W-0026,Calgary,AB,Hotel housekeeping,hourly,119.50,0.30,0.02,4,3,1,0,EMP-006,18,0,car,low
W-0027,Calgary,AB,Rideshare driver,gig,239.72,0.50,0.10,3,2,1,0,EMP-017,30,0,car,moderate
